Title,URL,Publish Date
"Oppenheimer and others underestimated fallout of the Trinity nuclear test, new study finds",https://indianexpress.com/article/explained/explained-sci-tech/trinity-nuclear-test-new-study-researchers-underestimated-fallout-8853039/,2023-07-22 04:30:53
Letters: We can take lessons from history in trying to counter the threat Putin poses to wider world,https://www.independent.ie/opinion/letters/letters-we-can-take-lessons-from-history-in-trying-to-counter-the-threat-putin-poses-to-wider-world/a1155406038.html,2023-07-22 03:30:00
Séamas O&#039;Reilly: Explaining the &#039;Barbenheimer&#039; phenomenon and what it says about cinema,https://www.irishexaminer.com/lifestyle-columnists/arid-41188486.html,2023-07-22 08:37:05
Hollywood A-listers to quit British chatshows as US actors’ strike hits,https://www.theguardian.com/tv-and-radio/2023/jul/23/hollywood-a-listers-to-quit-british-chatshows-as-us-actors-strike-hits,2023-07-23 09:00:35
"'Barbie,' in 1st, and 'Oppenheimer,' in 2nd, fuel historic box office bonanza",https://nationalpost.com/pmn/entertainment-pmn/barbie-in-1st-and-oppenheimer-in-2nd-fuel-historic-box-office-bonanza,2023-07-23 17:21:19
'This is a not thinking machine': Ireland's experts react to AI industry doomsday warnings,https://www.thejournal.ie/ai-experts-doomsday-predictions-not-thinking-machines-6125322-Jul2023/,2023-07-23 20:00:04
Confounded in the Barbie queue,https://www.smh.com.au/national/nsw/confounded-in-the-barbie-queue-20230725-p5dqzr.html?ref=rss&utm_medium=rss&utm_source=rss_national_nsw,2023-07-25 13:00:00
Winnipeg's Oppenheimer: The man responsible for the core of the atomic bomb,https://winnipeg.ctvnews.ca/winnipeg-s-oppenheimer-the-man-responsible-for-the-core-of-the-atomic-bomb-1.6501340,2023-07-31 22:41:00
Brendan O’Connor: We were lucky to have Sinéad O’Connor’s light shine on us,https://www.independent.ie/opinion/comment/brendan-oconnor-we-were-lucky-to-have-sinead-oconnors-light-shine-on-us/a76522591.html,2023-07-30 03:30:00
Barbenheimer: Barbie and Opepnheimer atomic bomb memes cause fury in Japan,https://news.stv.tv/entertainment/barbenheimer-barbie-and-opepnheimer-atomic-bomb-memes-cause-fury-in-japan,2023-08-01 11:15:40
The CFR Taiwan task force report: Advice and dissent,https://thechinaproject.com/2023/07/27/the-cfr-taiwan-task-force-report-advice-and-dissent/,2023-07-27 15:03:59
Open mike 31/07/2023,https://thestandard.org.nz/open-mike-31-07-2023/,2023-07-30 20:00:00
Daily review 28/07/2023,https://thestandard.org.nz/daily-review-28-07-2023/,2023-07-28 07:30:00
Daily review 31/07/2023,https://thestandard.org.nz/daily-review-31-07-2023/,2023-07-31 07:30:00
Labours’ party list,https://thestandard.org.nz/labours-party-list/,2023-07-31 01:45:14
Open mike 01/08/2023,https://thestandard.org.nz/open-mike-01-08-2023/,2023-08-01 05:49:52
Open mike 29/07/2023,https://thestandard.org.nz/open-mike-29-07-2023/,2023-07-28 20:00:00
Open mike 28/07/2023,https://thestandard.org.nz/open-mike-28-07-2023/,2023-07-27 20:00:00
Fans are obsessed with George RR Martin’s pink Barbie outfit,https://www.independent.co.uk/life-style/fashion/barbie-outfit-george-rr-martin-b2385673.html,2023-08-01 18:20:38
Justice minister takes new oath after wording prompted by SNC-Lavalin affair left out,https://www.ctvnews.ca/politics/justice-minister-takes-new-oath-after-wording-prompted-by-snc-lavalin-affair-left-out-1.6502392,2023-08-01 18:57:00
Singh confronts 'homophobic' heckler at event in Newfoundland,https://www.ctvnews.ca/politics/singh-confronts-homophobic-heckler-at-event-in-newfoundland-1.6502299,2023-08-01 18:58:00
Canada opens Express Entry immigration program to trades workers,https://www.ctvnews.ca/politics/canada-opens-express-entry-immigration-program-to-trades-workers-1.6502420,2023-08-01 19:31:23
NASA hears 'heartbeat' signal from Voyager 2 spacecraft after mistakenly cutting contact,https://www.ctvnews.ca/sci-tech/nasa-hears-heartbeat-signal-from-voyager-2-spacecraft-after-mistakenly-cutting-contact-1.6502426,2023-08-01 19:37:58
"At least 20 dead and 27 missing in floods surrounding China's capital Beijing, thousands evacuated",https://www.ctvnews.ca/climate-and-environment/at-least-20-dead-and-27-missing-in-floods-surrounding-china-s-capital-beijing-thousands-evacuated-1.6501898,2023-08-01 23:27:50
'Oh my God!' Airborne car lands in sewing blogger's front yard during video,https://www.ctvnews.ca/world/oh-my-god-airborne-car-lands-in-sewing-blogger-s-front-yard-during-video-1.6502638,2023-08-01 21:28:26
Biden goes nuclear: Joe and Jill go on a date night to watch Oppenheimer during their Rehoboth Beach...,https://www.dailymail.co.uk/news/article-12362781/Biden-goes-nuclear-Joe-Jill-date-night-watch-Oppenheimer-Rehoboth-Beach-vacation-Trumps-indictment-rocks-D-C-24-hours-Devon-Archers-testimony.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,2023-08-02 04:02:51
Trump indictment news: Trump indicted on four counts in 2020 election interference probe,https://www.independent.co.uk/news/world/americas/us-politics/donald-j-trump-indictment-coconspirators-49-page-b2386039.html,2023-08-02 05:55:58
Hollywood saves India&#8217;s PVR Inox as Bollywood bombs at box office,https://indianexpress.com/article/entertainment/entertainment-others/hollywood-saves-indias-pvr-inox-as-bollywood-bombs-at-box-office-8872381/,2023-08-02 06:19:12
"Live: Powerful Typhoon Khanun approches Okinawa, Japan",https://www.youtube.com/watch?v=5ijRqI04IYo,2023-08-02 07:39:08
"Former San Francisco State manager accused of calling worker a 'runaway slave,' suit says",https://www.latimes.com/california/story/2023-08-02/san-francisco-state-worker-alleges-manager-called-him-runaway-slave-suit-says,2023-08-02 12:22:05
Daywatch: What’s in the indictment against Donald Trump?,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter--20230802-mex4pf2o3ndpdj7xzhxgsd7sn4-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/,2023-08-02 13:44:01
Free streams to watch Barbie spread online amid security warnings,https://www.independent.co.uk/tech/free-stream-barbie-watch-online-streaming-b2386331.html,2023-08-02 15:11:57
Andreas Kluth: Russia outnumbers the US 10-to-1 in tactical nukes. Now what?,https://www.twincities.com/2023/08/02/andreas-kluth-russia-outnumbers-the-us-10-to-1-in-tactical-nukes-now-what/,2023-08-02 15:48:47
Record wet weather drives shoppers away from High Street,https://www.bbc.co.uk/news/business-66384409?at_medium=RSS&at_campaign=KARANGA,2023-08-03 07:28:50
See no evil: why have baddies vanished from our cinema screens?,https://www.theguardian.com/film/2023/aug/03/see-no-evil-why-have-baddies-vanished-from-our-cinema-screens,2023-08-03 17:00:48
PODCAST UPDATE: Are we safer now from nuclear war than we were after 1945? – Buchanan and Manning,https://thedailyblog.co.nz/2023/08/03/live-podcastmidday-are-we-safer-now-from-nuclear-war-than-we-were-after-1945-buchanan-and-manning/,2023-08-02 23:50:56
Friday Briefing,https://www.nytimes.com/2023/08/04/briefing/trump-court-not-guilty-oceans.html,2023-08-04 06:02:02
"Omniplex smashes records with 570,000 cinemagoers in 14 days",https://meanwhileinireland.com/omniplex-smashes-records/,2023-08-03 16:36:19
Thank you for subscribing!,https://www.birminghammail.co.uk/news/showbiz-tv/bbc-news-jane-hill-storms-27459149,2023-08-04 14:56:19
"Emily Blunt teases Tom Cruise: 'How many ""Mission: Impossibles"" does he need?'",https://www.foxnews.com/entertainment/emily-blunt-teases-tom-cruise-how-many-mission-impossibles-does-he-need,2023-08-05 00:30:49
Thinking Anew: Confronting a legacy of human depravity from Hiroshima to Ukraine,https://www.irishtimes.com/ireland/social-affairs/2023/08/05/thinking-anew-confronting-a-legacy-of-human-depravity-from-hiroshima-to-ukraine/,2023-08-05 11:00:00
"Hiroshima marks atomic bomb anniversary, calls nuclear deterrence 'folly'",https://www.channelnewsasia.com/asia/hiroshima-marks-atomic-bomb-anniversary-calls-nuclear-deterrence-folly-3680741,2023-08-06 03:03:01
"Hiroshima marks a-bomb anniversary, calls nuclear deterrence “folly“",https://www.arabnews.com/node/2350276/world,2023-08-06 06:06:56
"Hiroshima marks a-bomb anniversary, calls nuclear deterrence “folly”",https://in-cyprus.philenews.com/news/international/hiroshima-marks-a-bomb-anniversary-calls-nuclear-deterrence-folly/,2023-08-06 11:53:17
The bombing of Hiroshima: Everything you need to know about the atomic bomb that ended World War II,https://www.foxnews.com/world/hiroshima-japan-atomic-bomb-history,2023-08-06 17:02:49
8/5/23 National Security and Korean News and Commentary,https://smallwarsjournal.com/blog/8523-national-security-and-korean-news-and-commentary,2023-08-05 18:12:16
How trailblazing Irish academic was offered a fellowship by Oppenheimer,https://www.independent.ie/irish-news/how-trailblazing-irish-academic-was-offered-a-fellowship-by-oppenheimer/a1474665557.html,2023-08-07 16:04:49
"Florence Pugh Names Her Unlikely Celebrity Doppelgänger ― And Honestly, She's Right",https://www.huffpost.com/entry/florence-pugh-guy-fieri-doppelganger_n_64d12f48e4b0336a7c278226,2023-08-08 00:46:50
"Florence Pugh Names Her Unlikely Celebrity Doppelgänger ― And Honestly, She's Right",https://www.huffingtonpost.co.uk/entry/florence-pugh-names-unlikely-celeb-doppelganger-lookalike_uk_64d1dbb6e4b0d52bee9fd8c7,2023-08-08 08:11:59
‘I always confront’: Guardian readers on the decline of cinema etiquette,https://www.theguardian.com/film/2023/aug/08/guardian-readers-cinema-etiquette-bad-behavior-anecdotes,2023-08-08 10:05:03
AMC sees &#8216;explosive start&#8217; to Q3 due to &#8216;Barbenheimer&#8217; frenzy,https://globalnews.ca/news/9882316/amc-barbenheimer-q3-results/,2023-08-08 14:10:39
